strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
fixed_station_evrp,7847,True,36,36,0,67,18159.0,14170.0,3989.0,21.97,0.4514,5,0,0.0,0.0,8,maze.csv,4,1,150,0.02
reactive_drone,7175,True,36,36,0,316,16508.0,13931.0,2577.0,15.61,0.4854,5,2070.0,2484.0,603.86,8,maze.csv,4,1,150,0.02
proactive_fuel,7016,True,36,36,0,355,16518.0,13891.0,2627.0,15.9,0.495,5,2082.0,2498.4,600.38,8,maze.csv,4,1,150,0.02
proactive_fuel,7016,True,36,36,0,355,16518.0,13891.0,2627.0,15.9,0.495,5,2064.0,2476.8,605.62,8,maze.csv,4,2,150,0.02
proactive_fuel,7015,True,36,36,0,357,16518.0,13893.0,2625.0,15.89,0.4951,5,2049.0,2458.8,610.05,8,maze.csv,4,4,150,0.02
depot_only,8367,True,40,40,0,114,24588.0,18290.0,6298.0,25.61,0.5465,0,0,0.0,0.0,9,maze.csv,4,1,150,0.02
fixed_station_evrp,9461,True,40,40,0,396,24149.0,18552.0,5597.0,23.18,0.4902,8,0,0.0,0.0,9,maze.csv,4,1,150,0.02
reactive_drone,7220,True,40,40,2,-164,20688.0,14814.0,5874.0,28.39,0.513,4,2727.0,3272.4,366.7,9,maze.csv,4,1,150,0.02
proactive_fuel,7068,True,40,40,0,148,20622.0,17827.0,2795.0,13.55,0.6306,7,3429.0,4114.8,510.35,9,maze.csv,4,1,150,0.02
proactive_fuel,7067,True,40,40,0,148,20620.0,17825.0,2795.0,13.55,0.6306,7,2913.0,3495.6,600.76,9,maze.csv,4,2,150,0.02
proactive_fuel,7068,True,40,40,0,148,20620.0,17825.0,2795.0,13.55,0.6305,7,2913.0,3495.6,600.76,9,maze.csv,4,4,150,0.03
depot_only,6569,True,39,39,0,61,20879.0,16915.0,3964.0,18.99,0.6437,0,0,0.0,0.0,10,maze.csv,4,1,150,0.02
fixed_station_evrp,5655,True,39,39,0,173,19627.0,16541.0,3086.0,15.72,0.7313,4,0,0.0,0.0,10,maze.csv,4,1,150,0.02
reactive_drone,5489,True,39,39,0,286,17703.0,16003.0,1700.0,9.6,0.7289,4,2874.0,3448.8,347.95,10,maze.csv,4,1,150,0.02
