strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,strand_events,stranded_frames,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,hold_frames,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,max_route_length,truck_range,num_tasks,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
reactive_drone,5875,True,36,36,1,1,3701,0.0,11357.0,9023.0,2334.0,20.55,0.256,10948,3,1773.0,2127.6,423.01,2114.29,2000.0,36,8,maze.csv,6,1,3600,0.02
reactive_drone,9209,True,40,40,3,3,14509,0.0,12371.0,9613.0,2758.0,22.29,0.174,21759,5,3198.0,3837.6,390.87,2171.43,2000.0,40,9,maze.csv,6,1,3600,0.03
reactive_drone,9377,True,39,39,1,1,7030,0.0,12675.0,10210.0,2465.0,19.45,0.1815,21525,5,4581.0,5497.2,272.87,2285.71,2000.0,39,10,maze.csv,6,1,3600,0.03
proactive_fuel,5886,True,38,38,0,0,0,75.0,16335.0,11616.0,4719.0,28.89,0.3289,3596,1,273.0,327.6,915.75,2228.57,2000.0,38,1,maze.csv,6,1,3600,0.03
proactive_fuel,3451,True,36,36,0,0,0,72.0,14982.0,10038.0,4944.0,33.0,0.4848,0,0,0.0,0.0,0.0,2057.14,2000.0,36,2,maze.csv,6,1,3600,0.02
proactive_fuel,3045,True,40,40,0,0,0,76.0,13465.0,10158.0,3307.0,24.56,0.556,0,0,0.0,0.0,0.0,2057.14,2000.0,40,3,maze.csv,6,1,3600,0.02
proactive_fuel,4798,True,36,36,0,0,0,78.0,18257.0,11709.0,6548.0,35.87,0.4067,0,0,0.0,0.0,0.0,2171.43,2000.0,36,4,maze.csv,6,1,3600,0.03
proactive_fuel,3750,True,40,40,0,0,0,76.0,17127.0,11872.0,5255.0,30.68,0.5276,0,0,0.0,0.0,0.0,2171.43,2000.0,40,5,maze.csv,6,1,3600,0.02
proactive_fuel,5569,True,35,35,0,0,0,76.0,15682.0,11094.0,4588.0,29.26,0.332,0,0,0.0,0.0,0.0,2114.29,2000.0,35,6,maze.csv,6,1,3600,0.02
proactive_fuel,3278,True,35,35,0,0,0,83.0,14707.0,10065.0,4642.0,31.56,0.5117,0,0,0.0,0.0,0.0,2057.14,2000.0,35,7,maze.csv,6,1,3600,0.02
proactive_fuel,5218,True,36,36,0,0,0,76.0,16229.0,10830.0,5399.0,33.27,0.3459,0,0,0.0,0.0,0.0,2114.29,2000.0,36,8,maze.csv,6,1,3600,0.03
proactive_fuel,5563,True,40,40,0,0,0,77.0,20299.0,12719.0,7580.0,37.34,0.3811,0,0,0.0,0.0,0.0,2171.43,2000.0,40,9,maze.csv,6,1,3600,0.03
proactive_fuel,5943,True,39,39,0,0,0,78.0,17373.0,11908.0,5465.0,31.46,0.334,3597,1,390.0,468.0,641.03,2285.71,2000.0,39,10,maze.csv,6,1,3600,0.03
fixed_station_evrp,6863,True,38,38,0,0,0,75.0,20752.0,13315.0,7437.0,35.84,0.3234,0,0,0,0.0,0.0,2228.57,2000.0,38,1,maze.csv,6,1,7200,0.03
fixed_station_evrp,3451,True,36,36,0,0,0,72.0,14982.0,10038.0,4944.0,33.0,0.4848,0,0,0,0.0,0.0,2057.14,2000.0,36,2,maze.csv,6,1,7200,0.02
fixed_station_evrp,3045,True,40,40,0,0,0,76.0,13465.0,10158.0,3307.0,24.56,0.556,0,0,0,0.0,0.0,2057.14,2000.0,40,3,maze.csv,6,1,7200,0.02
fixed_station_evrp,4798,True,36,36,0,0,0,78.0,18257.0,11709.0,6548.0,35.87,0.4067,0,0,0,0.0,0.0,2171.43,2000.0,36,4,maze.csv,6,1,7200,0.02
fixed_station_evrp,3750,True,40,40,0,0,0,76.0,17127.0,11872.0,5255.0,30.68,0.5276,0,0,0,0.0,0.0,2171.43,2000.0,40,5,maze.csv,6,1,7200,0.02
fixed_station_evrp,5569,True,35,35,0,0,0,76.0,15682.0,11094.0,4588.0,29.26,0.332,0,0,0,0.0,0.0,2114.29,2000.0,35,6,maze.csv,6,1,7200,0.02
fixed_station_evrp,3278,True,35,35,0,0,0,83.0,14707.0,10065.0,4642.0,31.56,0.5117,0,0,0,0.0,0.0,2057.14,2000.0,35,7,maze.csv,6,1,7200,0.02
fixed_station_evrp,5218,True,36,36,0,0,0,76.0,16229.0,10830.0,5399.0,33.27,0.3459,0,0,0,0.0,0.0,2114.29,2000.0,36,8,maze.csv,6,1,7200,0.02
fixed_station_evrp,5563,True,40,40,0,0,0,77.0,20299.0,12719.0,7580.0,37.34,0.3811,0,0,0,0.0,0.0,2171.43,2000.0,40,9,maze.csv,6,1,7200,0.03
