Episode 225/1000  Total Reward: 254.00  Epsilon: 0.0647
Episode 226/1000  Total Reward: 292.00  Epsilon: 0.0644
Episode 227/1000  Total Reward: 214.00  Epsilon: 0.0641
Episode 228/1000  Total Reward: 210.00  Epsilon: 0.0638
Episode 229/1000  Total Reward: 250.00  Epsilon: 0.0635
Episode 230/1000  Total Reward: 214.00  Epsilon: 0.0631
Episode 231/1000  Total Reward: 252.00  Epsilon: 0.0628
Episode 232/1000  Total Reward: 254.00  Epsilon: 0.0625
Episode 233/1000  Total Reward: 288.00  Epsilon: 0.0622
Episode 234/1000  Total Reward: 288.00  Epsilon: 0.0619
Episode 235/1000  Total Reward: 252.00  Epsilon: 0.0616
Episode 236/1000  Total Reward: 214.00  Epsilon: 0.0613
Episode 237/1000  Total Reward: 164.00  Epsilon: 0.0610
Episode 238/1000  Total Reward: 326.00  Epsilon: 0.0607
Episode 239/1000  Total Reward: 256.00  Epsilon: 0.0604
Episode 240/1000  Total Reward: 206.00  Epsilon: 0.0601
Episode 241/1000  Total Reward: 294.00  Epsilon: 0.0598
Episode 242/1000  Total Reward: 214.00  Epsilon: 0.0595
Episode 243/1000  Total Reward: 294.00  Epsilon: 0.0592
Episode 244/1000  Total Reward: 298.00  Epsilon: 0.0589
Episode 245/1000  Total Reward: 296.00  Epsilon: 0.0586
Episode 246/1000  Total Reward: 254.00  Epsilon: 0.0583
Episode 247/1000  Total Reward: 246.00  Epsilon: 0.0580
Episode 248/1000  Total Reward: 176.00  Epsilon: 0.0577
Episode 249/1000  Total Reward: 258.00  Epsilon: 0.0574
Episode 250/1000  Total Reward: 292.00  Epsilon: 0.0571
Episode 251/1000  Total Reward: 172.00  Epsilon: 0.0568
Episode 252/1000  Total Reward: 290.00  Epsilon: 0.0566
Episode 253/1000  Total Reward: 288.00  Epsilon: 0.0563
Episode 254/1000  Total Reward: 154.00  Epsilon: 0.0560
Episode 255/1000  Total Reward: 282.00  Epsilon: 0.0557
Episode 256/1000  Total Reward: 290.00  Epsilon: 0.0554
Episode 257/1000  Total Reward: 252.00  Epsilon: 0.0552
Episode 258/1000  Total Reward: 290.00  Epsilon: 0.0549
Episode 259/1000  Total Reward: 212.00  Epsilon: 0.0546
Episode 260/1000  Total Reward: 206.00  Epsilon: 0.0543
Episode 261/1000  Total Reward: 294.00  Epsilon: 0.0541
Episode 262/1000  Total Reward: 260.00  Epsilon: 0.0538
Episode 263/1000  Total Reward: 258.00  Epsilon: 0.0535
Episode 264/1000  Total Reward: 292.00  Epsilon: 0.0533
Episode 265/1000  Total Reward: 248.00  Epsilon: 0.0530
Episode 266/1000  Total Reward: 256.00  Epsilon: 0.0527
Episode 267/1000  Total Reward: 218.00  Epsilon: 0.0525
Episode 268/1000  Total Reward: 214.00  Epsilon: 0.0522
Episode 269/1000  Total Reward: 252.00  Epsilon: 0.0519
